Итоговая разметка,Уверенность
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
1,21
0,99
0,99
0,99
0,99
0,99
0,99
0,54
0,99
0,99
0,99
0,79
0,99
0,99
0,99
1,32
0,99
0,99
1,97
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,98
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,82
0,99
0,99
0,98
0,99
0,99
0,99
0,99
0,98
0,98
0,99
0,99
0,17
0,99
0,99
0,99
0,99
1,28
0,99
0,99
0,99
0,99
0,99
0,96
0,99
0,99
0,99
0,98
0,99
0,99
0,93
0,99
0,90
0,91
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,97
1,36
0,99
0,91
0,99
0,99
0,99
0,99
1,49
0,99
0,99
0,99
0,99
0,99
1,44
0,99
0,99
0,99
1,93
0,99
0,99
0,99
0,99
0,99
0,99
1,80
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,84
0,99
0,99
0,99
1,93
0,99
0,85
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,96
0,99
0,99
0,99
1,91
0,94
0,99
0,99
0,99
0,99
0,96
0,99
0,99
0,99
0,99
0,99
0,97
0,99
0,97
0,99
0,99
0,14
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,67
0,99
0,64
0,99
1,93
0,99
0,99
0,95
0,99
0,99
0,99
0,99
0,99
0,99
1,42
0,99
0,99
0,99
0,99
0,63
0,93
0,99
0,97
0,99
0,18
0,99
0,99
0,99
0,99
0,99
0,99
0,99
1,25
0,99
0,99
0,99
0,99
0,99
0,51
0,99
0,99
0,99
0,99
0,99
0,97
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,60
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,96
0,99
0,81
0,99
0,99
0,82
0,99
0,99
0,99
0,99
0,99
0,99
0,98
0,99
0,99
0,99
0,95
0,99
0,99
0,99
0,99
0,99
0,99
0,98
0,81
0,99
0,98
0,99
0,99
0,99
0,99
0,99
0,99
0,97
0,99
0,99
0,99
0,99
1,69
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,95
0,99
0,99
0,99
0,99
0,94
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,98
0,99
0,98
0,99
0,98
0,99
0,99
0,98
0,99
0,98
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,58
1,59
0,99
1,9
1,65
0,99
0,99
0,99
1,97
0,99
0,99
0,74
0,99
0,79
1,97
0,99
0,39
0,99
0,98
0,99
0,99
1,95
0,99
0,99
0,99
0,99
1,39
0,99
0,78
0,99
0,99
0,99
0,99
1,33
0,99
0,99
1,28
0,99
0,98
0,99
0,99
0,99
0,99
0,99
0,99
1,94
0,95
0,99
0,99
1,3
0,98
0,99
0,71
0,99
0,99
0,99
1,99
0,99
0,92
0,99
1,91
0,96
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,81
0,99
0,65
0,99
0,99
0,99
0,99
0,99
1,99
0,99
0,97
0,99
0,99
0,99
0,99
0,98
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,96
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,92
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,99
0,97
0,99
0,99
0,99
